
Antichain percentiles
percentile;time;
0.0363;0.0327;0.0399;
0.0364;0.0355;0.0373;
0.03645;0.0329;0.04;
0.03655;0.0321;0.041;
0.03655;0.0345;0.0386;
0.0366;0.03;0.0432;
0.0366;0.0344;0.0388;
0.03665;0.0346;0.0387;
0.03675;0.0337;0.0398;
0.037;0.0348;0.0392;
0.0371;0.0346;0.0396;
0.0371;0.0356;0.0386;
0.03715;0.0352;0.0391;
0.03755;0.0353;0.0398;
0.0379;0.0359;0.0399;
0.03795;0.035;0.0409;
0.03815;0.0351;0.0412;
0.03825;0.0349;0.0416;
0.03825;0.0366;0.0399;
0.03825;0.036;0.0405;
0.0383;0.0347;0.0419;
0.03835;0.036;0.0407;
0.0384;0.0354;0.0414;
0.03845;0.0365;0.0404;
0.03845;0.0354;0.0415;
0.03865;0.0354;0.0419;
0.03865;0.0356;0.0417;
0.03865;0.0368;0.0405;
0.03865;0.0356;0.0417;
0.03865;0.0353;0.042;
0.03865;0.0358;0.0415;
0.03865;0.0347;0.0426;
0.0387;0.0352;0.0422;
0.0387;0.0353;0.0421;
0.0387;0.0347;0.0427;
0.03875;0.0356;0.0419;
0.03875;0.0353;0.0422;
0.0388;0.0325;0.0451;
0.03885;0.0357;0.042;
0.03895;0.0363;0.0416;
0.039;0.0356;0.0424;
0.03905;0.0356;0.0425;
0.03905;0.0358;0.0423;
0.03905;0.0362;0.0419;
0.03905;0.0357;0.0424;
0.0391;0.0352;0.043;
0.0391;0.0376;0.0406;
0.0391;0.0362;0.042;
0.03915;0.0306;0.0477;
0.03915;0.0359;0.0424;
0.03915;0.0362;0.0421;
0.0392;0.0354;0.043;
0.0392;0.0359;0.0425;
0.0392;0.036;0.0424;
0.03925;0.0359;0.0426;
0.03925;0.0369;0.0416;
0.03925;0.0364;0.0421;
0.03925;0.0358;0.0427;
0.03925;0.0362;0.0423;
0.03925;0.0351;0.0434;
0.0393;0.0356;0.043;
0.0393;0.036;0.0426;
0.0393;0.036;0.0426;
0.0393;0.0359;0.0427;
0.03935;0.0361;0.0426;
0.0394;0.0357;0.0431;
0.03945;0.036;0.0429;
0.03945;0.0366;0.0423;
0.03945;0.0361;0.0428;
0.03945;0.0359;0.043;
0.0395;0.036;0.043;
0.0395;0.0356;0.0434;
0.0395;0.0378;0.0412;
0.03955;0.0364;0.0427;
0.03955;0.0362;0.0429;
0.0396;0.0362;0.043;
0.0396;0.0366;0.0426;
0.0396;0.0363;0.0429;
0.0396;0.0368;0.0424;
0.03965;0.037;0.0423;
0.03965;0.0359;0.0434;
0.03965;0.0368;0.0425;
0.0397;0.0364;0.043;
0.03975;0.0359;0.0436;
0.0398;0.0371;0.0425;
0.0398;0.037;0.0426;
0.0398;0.0362;0.0434;
0.0398;0.0363;0.0433;
0.03985;0.0357;0.044;
0.03985;0.037;0.0427;
0.03985;0.0363;0.0434;
0.0399;0.0372;0.0426;
0.0399;0.0364;0.0434;
0.0399;0.0371;0.0427;
