======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0082;     A0055;    0.0145;    0.0215;         0;        ok;
     A0082;     A0056;    0.0138;    0.0226;         0;        ok;
     A0082;     A0057;    0.0140;    0.0228;         0;        ok;
     A0082;     A0058;    0.0142;    0.0234;         0;        ok;
     A0082;     A0059;    0.0144;    0.0245;         0;        ok;
     A0082;     A0060;    0.0159;    0.0235;         0;        ok;
     A0082;     A0062;    0.0149;    0.0235;         0;        ok;
     A0082;     A0063;    0.0174;    0.0684;         0;        ok;
     A0082;     A0064;    0.0175;    0.0679;         0;        ok;
     A0082;     A0065;    0.0174;    0.0676;         0;        ok;
     A0082;     A0070;    0.0181;    0.0732;         0;        ok;
     A0082;     A0080;    0.0212;    0.4373;         0;        ok;
     A0082;     A0082;    0.3319;    1.8271;         1;        ok;
     A0082;     A0083;    0.3529;    1.9812;         1;        ok;
     A0082;     A0086;    0.0349;    0.1275;         0;        ok;
     A0082;     A0087;    0.0244;    0.0779;         0;        ok;
     A0082;     A0088;    0.0258;    0.0799;         0;        ok;
     A0082;     A0089;    0.0265;    0.0756;         0;        ok;
     A0083;     A0053;    0.0156;    0.0237;         0;        ok;
     A0083;     A0054;    0.0149;    0.0244;         0;        ok;
     A0083;     A0055;    0.0143;    0.0220;         0;        ok;
     A0083;     A0056;    0.0140;    0.0231;         0;        ok;
     A0083;     A0057;    0.0141;    0.0229;         0;        ok;
     A0083;     A0058;    0.0142;    0.0236;         0;        ok;
     A0083;     A0059;    0.0144;    0.0238;         0;        ok;
     A0083;     A0060;    0.0153;    0.0229;         0;        ok;
     A0083;     A0062;    0.0150;    0.0244;         0;        ok;
     A0083;     A0063;    0.0177;    0.0690;         0;        ok;
     A0083;     A0064;    0.0179;    0.0685;         0;        ok;
     A0083;     A0065;    0.0176;    0.0677;         0;        ok;
     A0083;     A0070;    0.0181;    0.0731;         0;        ok;
     A0083;     A0080;    0.0206;    0.4421;         0;        ok;
     A0083;     A0082;    0.3441;    1.9910;         1;        ok;
     A0083;     A0083;    0.3642;    1.9124;         1;        ok;
     A0083;     A0086;    0.0292;    0.1154;         0;        ok;
     A0083;     A0087;    0.0232;    0.0738;         0;        ok;
     A0083;     A0088;    0.0232;    0.0736;         0;        ok;
     A0083;     A0089;    0.0228;    0.0725;         0;        ok;
     A0086;     A0053;    0.0219;    0.0357;         0;        ok;
     A0086;     A0054;    0.0229;    0.0375;         0;        ok;
     A0086;     A0055;    0.0221;    0.0372;         0;        ok;
     A0086;     A0056;    0.0224;    0.0377;         0;        ok;
     A0086;     A0057;    0.0225;    0.0380;         0;        ok;
     A0086;     A0058;    0.0229;    0.0384;         0;        ok;
     A0086;     A0059;    0.0229;    0.0383;         0;        ok;
     A0086;     A0060;    0.0231;    0.0380;         0;        ok;
     A0086;     A0062;    0.0231;    0.0386;         0;        ok;
     A0086;     A0063;    0.0276;    0.1044;         0;        ok;
     A0086;     A0064;    0.0263;    0.1038;         0;        ok;
     A0086;     A0065;    0.0261;    0.1031;         0;        ok;
     A0086;     A0070;    0.0269;    0.1037;         0;        ok;
     A0086;     A0080;    0.0280;    0.1111;         0;        ok;
     A0086;     A0082;    0.0289;    0.1147;         0;        ok;
     A0086;     A0083;    0.0288;    0.1174;         0;        ok;
     A0086;     A0086;    0.6065;    3.5864;         1;        ok;
     A0086;     A0087;    0.0315;    0.1121;         0;        ok;
     A0086;     A0088;    0.0318;    0.1150;         0;        ok;
     A0086;     A0089;    0.0315;    0.1098;         0;        ok;
     A0087;     A0053;    0.0268;    0.0265;         0;        ok;
     A0087;     A0054;    0.0336;    0.0278;         0;        ok;
     A0087;     A0055;    0.0282;    0.0269;         0;        ok;
     A0087;     A0056;    0.0355;    0.0279;         0;        ok;
     A0087;     A0057;    0.0377;    0.0285;         0;        ok;
     A0087;     A0058;    0.0371;    0.0287;         0;        ok;
     A0087;     A0059;    0.0415;    0.0286;         0;        ok;
     A0087;     A0060;    0.0310;    0.0281;         0;        ok;
     A0087;     A0062;    0.0318;    0.0293;         0;        ok;
     A0087;     A0063;    0.0812;    0.0519;         0;        ok;
     A0087;     A0064;    0.0799;    0.0533;         0;        ok;
     A0087;     A0065;    0.0759;    0.0524;         0;        ok;
     A0087;     A0070;    0.0806;    0.0561;         0;        ok;
     A0087;     A0080;    0.0876;    0.0791;         0;        ok;
     A0087;     A0082;    0.4345;    0.0726;         0;        ok;
     A0087;     A0083;    0.4493;    0.0728;         0;        ok;
     A0087;     A0086;    0.1007;    0.1146;         0;        ok;
     A0087;     A0087;    1.1845;    0.7679;         1;        ok;
     A0087;     A0088;    1.0443;    0.7741;         1;        ok;
     A0087;     A0089;    0.1556;    0.4170;         0;        ok;
     A0088;     A0053;    0.0190;    0.0269;         0;        ok;
     A0088;     A0054;    0.0210;    0.0286;         0;        ok;
     A0088;     A0055;    0.0201;    0.0286;         0;        ok;
     A0088;     A0056;    0.0206;    0.0283;         0;        ok;
     A0088;     A0057;    0.0212;    0.0289;         0;        ok;
     A0088;     A0058;    0.0217;    0.0288;         0;        ok;
     A0088;     A0059;    0.0215;    0.0290;         0;        ok;
     A0088;     A0060;    0.0210;    0.0289;         0;        ok;
     A0088;     A0062;    0.0208;    0.0295;         0;        ok;
     A0088;     A0063;    0.0261;    0.0525;         0;        ok;
     A0088;     A0064;    0.0272;    0.0535;         0;        ok;
     A0088;     A0065;    0.0262;    0.0523;         0;        ok;
